sentence,sentence_CLAUSE,sentence_RC_attached,subj_NUM,subj_GEN,subj_ZIPF,obj_NUM,obj_GEN,obj_ZIPF,embed_NUM,embed_GEN,embed_ZIPF,verb_ZIPF
the woman sees the king who likes the man.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.82,4.59
the woman sees the king who likes the boy.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.17,4.59
the woman sees the king who likes the girls.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,5.38,4.59
the woman sees the king who likes the ladies.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,4.86,4.59
the woman sees the king who likes the men.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.82,4.59
the woman sees the king who likes the boys.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.17,4.59
the woman sees the king who the girl likes.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,5.38,4.59
the woman sees the king who the queen likes.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,4.86,4.59
the woman sees the king who the man likes.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.82,4.59
the woman sees the king who the boy likes.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.17,4.59
the woman sees the king who the girls like.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,5.38,4.59
the woman sees the king who the ladies like.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,4.86,4.59
the woman sees the king who the men like.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.82,4.59
the woman sees the king who the boys like.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.17,4.59
the woman sees the girls who like the queen.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,sg,f,4.86,4.59
the woman sees the girls who like the man.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.82,4.59
the woman sees the girls who like the boy.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,4.59
the woman sees the girls who like the king.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,4.59
the woman sees the girls who like the ladies.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,pl,f,4.86,4.59
the woman sees the girls who like the men.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.82,4.59
the woman sees the girls who like the boys.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,4.59
the woman sees the girls who like the kings.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,4.59
the woman sees the girls who the queen likes.,objwho,peripheral,sg,f,5.35,pl,f,5.38,sg,f,4.86,4.59
the woman sees the girls who the man likes.,objwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.82,4.59
the woman sees the girls who the boy likes.,objwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,4.59
the woman sees the girls who the king likes.,objwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,4.59
the woman sees the girls who the ladies like.,objwho,peripheral,sg,f,5.35,pl,f,5.38,pl,f,4.86,4.59
the woman sees the girls who the men like.,objwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.82,4.59
the woman sees the girls who the boys like.,objwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,4.59
the woman sees the girls who the kings like.,objwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,4.59
the woman sees the ladies who like the girl.,subjwho,peripheral,sg,f,5.35,pl,f,4.86,sg,f,5.38,4.59
the woman sees the ladies who like the man.,subjwho,peripheral,sg,f,5.35,pl,f,4.86,sg,m,5.82,4.59
the woman sees the ladies who like the boy.,subjwho,peripheral,sg,f,5.35,pl,f,4.86,sg,m,5.17,4.59
the woman sees the ladies who like the king.,subjwho,peripheral,sg,f,5.35,pl,f,4.86,sg,m,5.17,4.59
the woman sees the ladies who like the girls.,subjwho,peripheral,sg,f,5.35,pl,f,4.86,pl,f,5.38,4.59
the woman sees the ladies who like the men.,subjwho,peripheral,sg,f,5.35,pl,f,4.86,pl,m,5.82,4.59
the woman sees the ladies who like the boys.,subjwho,peripheral,sg,f,5.35,pl,f,4.86,pl,m,5.17,4.59
the woman sees the ladies who like the kings.,subjwho,peripheral,sg,f,5.35,pl,f,4.86,pl,m,5.17,4.59
the woman sees the ladies who the girl likes.,objwho,peripheral,sg,f,5.35,pl,f,4.86,sg,f,5.38,4.59
the woman sees the ladies who the man likes.,objwho,peripheral,sg,f,5.35,pl,f,4.86,sg,m,5.82,4.59
the woman sees the ladies who the boy likes.,objwho,peripheral,sg,f,5.35,pl,f,4.86,sg,m,5.17,4.59
the woman sees the ladies who the king likes.,objwho,peripheral,sg,f,5.35,pl,f,4.86,sg,m,5.17,4.59
the woman sees the ladies who the girls like.,objwho,peripheral,sg,f,5.35,pl,f,4.86,pl,f,5.38,4.59
the woman sees the ladies who the men like.,objwho,peripheral,sg,f,5.35,pl,f,4.86,pl,m,5.82,4.59
the woman sees the ladies who the boys like.,objwho,peripheral,sg,f,5.35,pl,f,4.86,pl,m,5.17,4.59
the woman sees the ladies who the kings like.,objwho,peripheral,sg,f,5.35,pl,f,4.86,pl,m,5.17,4.59
the woman sees the men who like the girl.,subjwho,peripheral,sg,f,5.35,pl,m,5.82,sg,f,5.38,4.59
the woman sees the men who like the queen.,subjwho,peripheral,sg,f,5.35,pl,m,5.82,sg,f,4.86,4.59
the woman sees the men who like the boy.,subjwho,peripheral,sg,f,5.35,pl,m,5.82,sg,m,5.17,4.59
the woman sees the men who like the king.,subjwho,peripheral,sg,f,5.35,pl,m,5.82,sg,m,5.17,4.59
the woman sees the men who like the girls.,subjwho,peripheral,sg,f,5.35,pl,m,5.82,pl,f,5.38,4.59
the woman sees the men who like the ladies.,subjwho,peripheral,sg,f,5.35,pl,m,5.82,pl,f,4.86,4.59
the woman sees the men who like the boys.,subjwho,peripheral,sg,f,5.35,pl,m,5.82,pl,m,5.17,4.59
the woman sees the men who like the kings.,subjwho,peripheral,sg,f,5.35,pl,m,5.82,pl,m,5.17,4.59
the woman sees the men who the girl likes.,objwho,peripheral,sg,f,5.35,pl,m,5.82,sg,f,5.38,4.59
the woman sees the men who the queen likes.,objwho,peripheral,sg,f,5.35,pl,m,5.82,sg,f,4.86,4.59
the woman sees the men who the boy likes.,objwho,peripheral,sg,f,5.35,pl,m,5.82,sg,m,5.17,4.59
the woman sees the men who the king likes.,objwho,peripheral,sg,f,5.35,pl,m,5.82,sg,m,5.17,4.59
the woman sees the men who the girls like.,objwho,peripheral,sg,f,5.35,pl,m,5.82,pl,f,5.38,4.59
the woman sees the men who the ladies like.,objwho,peripheral,sg,f,5.35,pl,m,5.82,pl,f,4.86,4.59
the woman sees the men who the boys like.,objwho,peripheral,sg,f,5.35,pl,m,5.82,pl,m,5.17,4.59
the woman sees the men who the kings like.,objwho,peripheral,sg,f,5.35,pl,m,5.82,pl,m,5.17,4.59
the woman sees the boys who like the girl.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,sg,f,5.38,4.59
the woman sees the boys who like the queen.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,sg,f,4.86,4.59
the woman sees the boys who like the man.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,sg,m,5.82,4.59
the woman sees the boys who like the king.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,sg,m,5.17,4.59
the woman sees the boys who like the girls.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,pl,f,5.38,4.59
the woman sees the boys who like the ladies.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,pl,f,4.86,4.59
the woman sees the boys who like the men.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,pl,m,5.82,4.59
the woman sees the boys who like the kings.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,pl,m,5.17,4.59
the woman sees the boys who the girl likes.,objwho,peripheral,sg,f,5.35,pl,m,5.17,sg,f,5.38,4.59
the woman sees the boys who the queen likes.,objwho,peripheral,sg,f,5.35,pl,m,5.17,sg,f,4.86,4.59
the woman sees the boys who the man likes.,objwho,peripheral,sg,f,5.35,pl,m,5.17,sg,m,5.82,4.59
the woman sees the boys who the king likes.,objwho,peripheral,sg,f,5.35,pl,m,5.17,sg,m,5.17,4.59
the woman sees the boys who the girls like.,objwho,peripheral,sg,f,5.35,pl,m,5.17,pl,f,5.38,4.59
the woman sees the boys who the ladies like.,objwho,peripheral,sg,f,5.35,pl,m,5.17,pl,f,4.86,4.59
the woman sees the boys who the men like.,objwho,peripheral,sg,f,5.35,pl,m,5.17,pl,m,5.82,4.59
the woman sees the boys who the kings like.,objwho,peripheral,sg,f,5.35,pl,m,5.17,pl,m,5.17,4.59
the woman sees the kings who like the girl.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,sg,f,5.38,4.59
the woman sees the kings who like the queen.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,sg,f,4.86,4.59
the woman sees the kings who like the man.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,sg,m,5.82,4.59
the woman sees the kings who like the boy.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,sg,m,5.17,4.59
the woman sees the kings who like the girls.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,pl,f,5.38,4.59
the woman sees the kings who like the ladies.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,pl,f,4.86,4.59
the woman sees the kings who like the men.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,pl,m,5.82,4.59
the woman sees the kings who like the boys.,subjwho,peripheral,sg,f,5.35,pl,m,5.17,pl,m,5.17,4.59
the woman sees the kings who the girl likes.,objwho,peripheral,sg,f,5.35,pl,m,5.17,sg,f,5.38,4.59
the woman sees the kings who the queen likes.,objwho,peripheral,sg,f,5.35,pl,m,5.17,sg,f,4.86,4.59
the woman sees the kings who the man likes.,objwho,peripheral,sg,f,5.35,pl,m,5.17,sg,m,5.82,4.59
the woman sees the kings who the boy likes.,objwho,peripheral,sg,f,5.35,pl,m,5.17,sg,m,5.17,4.59
the woman sees the kings who the girls like.,objwho,peripheral,sg,f,5.35,pl,m,5.17,pl,f,5.38,4.59
the woman sees the kings who the ladies like.,objwho,peripheral,sg,f,5.35,pl,m,5.17,pl,f,4.86,4.59
the woman sees the kings who the men like.,objwho,peripheral,sg,f,5.35,pl,m,5.17,pl,m,5.82,4.59
the woman sees the kings who the boys like.,objwho,peripheral,sg,f,5.35,pl,m,5.17,pl,m,5.17,4.59
the woman likes the girl who sees the queen.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,sg,f,4.86,4.73
the woman likes the girl who sees the man.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.82,4.73
the woman likes the girl who sees the boy.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,4.73
the woman likes the girl who sees the king.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,4.73
the woman likes the girl who sees the ladies.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,pl,f,4.86,4.73
the woman likes the girl who sees the men.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.82,4.73
the woman likes the girl who sees the boys.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,4.73
the woman likes the girl who sees the kings.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,4.73
the woman likes the girl who the queen sees.,objwho,peripheral,sg,f,5.35,sg,f,5.38,sg,f,4.86,4.73
the woman likes the girl who the man sees.,objwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.82,4.73
the woman likes the girl who the boy sees.,objwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,4.73
the woman likes the girl who the king sees.,objwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,4.73
the woman likes the girl who the ladies see.,objwho,peripheral,sg,f,5.35,sg,f,5.38,pl,f,4.86,4.73
the woman likes the girl who the men see.,objwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.82,4.73
the woman likes the girl who the boys see.,objwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,4.73
the woman likes the girl who the kings see.,objwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,4.73
the woman likes the queen who sees the girl.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,sg,f,5.38,4.73
the woman likes the queen who sees the man.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.82,4.73
the woman likes the queen who sees the boy.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.17,4.73
the woman likes the queen who sees the king.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.17,4.73
the woman likes the queen who sees the girls.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,pl,f,5.38,4.73
the woman likes the queen who sees the men.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.82,4.73
the woman likes the queen who sees the boys.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.17,4.73
the woman likes the queen who sees the kings.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.17,4.73
the woman likes the queen who the girl sees.,objwho,peripheral,sg,f,5.35,sg,f,4.86,sg,f,5.38,4.73
the woman likes the queen who the man sees.,objwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.82,4.73
the woman likes the queen who the boy sees.,objwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.17,4.73
the woman likes the queen who the king sees.,objwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.17,4.73
the woman likes the queen who the girls see.,objwho,peripheral,sg,f,5.35,sg,f,4.86,pl,f,5.38,4.73
the woman likes the queen who the men see.,objwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.82,4.73
the woman likes the queen who the boys see.,objwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.17,4.73
the woman likes the queen who the kings see.,objwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.17,4.73
the woman likes the man who sees the girl.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,sg,f,5.38,4.73
the woman likes the man who sees the queen.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,sg,f,4.86,4.73
the woman likes the man who sees the boy.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,sg,m,5.17,4.73
the woman likes the man who sees the king.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,sg,m,5.17,4.73
the woman likes the man who sees the girls.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,pl,f,5.38,4.73
the woman likes the man who sees the ladies.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,pl,f,4.86,4.73
the woman likes the man who sees the boys.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,pl,m,5.17,4.73
the woman likes the man who sees the kings.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,pl,m,5.17,4.73
the woman likes the man who the girl sees.,objwho,peripheral,sg,f,5.35,sg,m,5.82,sg,f,5.38,4.73
the woman likes the man who the queen sees.,objwho,peripheral,sg,f,5.35,sg,m,5.82,sg,f,4.86,4.73
the woman likes the man who the boy sees.,objwho,peripheral,sg,f,5.35,sg,m,5.82,sg,m,5.17,4.73
the woman likes the man who the king sees.,objwho,peripheral,sg,f,5.35,sg,m,5.82,sg,m,5.17,4.73
the woman likes the man who the girls see.,objwho,peripheral,sg,f,5.35,sg,m,5.82,pl,f,5.38,4.73
the woman likes the man who the ladies see.,objwho,peripheral,sg,f,5.35,sg,m,5.82,pl,f,4.86,4.73
the woman likes the man who the boys see.,objwho,peripheral,sg,f,5.35,sg,m,5.82,pl,m,5.17,4.73
the woman likes the man who the kings see.,objwho,peripheral,sg,f,5.35,sg,m,5.82,pl,m,5.17,4.73
the woman likes the boy who sees the girl.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,5.38,4.73
the woman likes the boy who sees the queen.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,4.86,4.73
the woman likes the boy who sees the man.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.82,4.73
the woman likes the boy who sees the king.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.17,4.73
the woman likes the boy who sees the girls.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,5.38,4.73
the woman likes the boy who sees the ladies.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,4.86,4.73
the woman likes the boy who sees the men.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.82,4.73
the woman likes the boy who sees the kings.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.17,4.73
the woman likes the boy who the girl sees.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,5.38,4.73
the woman likes the boy who the queen sees.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,4.86,4.73
the woman likes the boy who the man sees.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.82,4.73
the woman likes the boy who the king sees.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.17,4.73
the woman likes the boy who the girls see.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,5.38,4.73
the woman likes the boy who the ladies see.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,4.86,4.73
the woman likes the boy who the men see.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.82,4.73
the woman likes the boy who the kings see.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.17,4.73
the woman likes the king who sees the girl.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,5.38,4.73
the woman likes the king who sees the queen.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,4.86,4.73
the woman likes the king who sees the man.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.82,4.73
the woman likes the king who sees the boy.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.17,4.73
the woman likes the king who sees the girls.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,5.38,4.73
the woman likes the king who sees the ladies.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,4.86,4.73
the woman likes the king who sees the men.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.82,4.73
the woman likes the king who sees the boys.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.17,4.73
the woman likes the king who the girl sees.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,5.38,4.73
the woman likes the king who the queen sees.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,4.86,4.73
the woman likes the king who the man sees.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.82,4.73
the woman likes the king who the boy sees.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.17,4.73
the woman likes the king who the girls see.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,5.38,4.73
the woman likes the king who the ladies see.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,4.86,4.73
the woman likes the king who the men see.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.82,4.73
the woman likes the king who the boys see.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.17,4.73
the woman likes the girls who see the queen.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,sg,f,4.86,4.73
the woman likes the girls who see the man.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.82,4.73
the woman likes the girls who see the boy.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,4.73
the woman likes the girls who see the king.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,sg,m,5.17,4.73
the woman likes the girls who see the ladies.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,pl,f,4.86,4.73
the woman likes the girls who see the men.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.82,4.73
the woman likes the girls who see the boys.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,4.73
the woman likes the girls who see the kings.,subjwho,peripheral,sg,f,5.35,pl,f,5.38,pl,m,5.17,4.73
